Timestamp,Total_Resultados,Ofertas_Madrid,Ofertas_Barcelona,Ofertas_Valencia,Ofertas_Malaga,Otras_provincias,Telework: Híbrido,Telework: Solo Teletrabajo,Telework: Presencial,Telework: Sin especificar,Contratos indefinidos,Contratos no indefinidos,Tipo_Jornada
2026-07-25,98,70,9,4,3,12,45,32,11,8,92,6,"{""Completa"": 95, ""Indiferente"": 1, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 1, ""Otra jornada"": 0}"
2026-07-26,98,70,9,4,3,12,45,32,11,8,92,6,"{""Completa"": 95, ""Indiferente"": 1, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 1, ""Otra jornada"": 0}"
2026-07-27,94,68,8,3,3,12,43,32,11,6,91,3,"{""Completa"": 92, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 1, ""Otra jornada"": 0}"
2026-07-28,94,67,9,3,3,12,44,31,11,6,91,3,"{""Completa"": 92, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 1, ""Otra jornada"": 0}"
2026-07-29,92,66,8,3,3,12,46,29,9,6,89,3,"{""Completa"": 90, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 1, ""Otra jornada"": 0}"
2026-07-30,95,68,8,4,3,12,48,29,10,6,90,5,"{""Completa"": 93, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 1, ""Otra jornada"": 0}"
2026-07-31,97,68,10,4,3,12,49,31,10,6,93,4,"{""Completa"": 96, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 0, ""Otra jornada"": 0}"
2026-08-01,101,72,11,4,3,11,53,33,9,6,97,4,"{""Completa"": 100, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 0, ""Otra jornada"": 0}"
2026-08-02,97,71,10,4,3,9,51,33,8,5,93,4,"{""Completa"": 96, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 0, ""Otra jornada"": 0}"
2026-08-03,97,71,10,4,3,9,51,33,8,5,93,4,"{""Completa"": 96, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 0, ""Otra jornada"": 0}"
