Timestamp,Total_Resultados,Ofertas_Madrid,Ofertas_Barcelona,Ofertas_Valencia,Ofertas_Malaga,Otras_provincias,Telework: Híbrido,Telework: Solo Teletrabajo,Telework: Presencial,Telework: Sin especificar,Contratos indefinidos,Contratos no indefinidos,Tipo_Jornada
2026-07-25,98,70,9,4,3,12,45,32,11,8,92,6,"{""Completa"": 95, ""Indiferente"": 1, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 1, ""Otra jornada"": 0}"
2026-07-26,98,70,9,4,3,12,45,32,11,8,92,6,"{""Completa"": 95, ""Indiferente"": 1, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 1, ""Otra jornada"": 0}"
2026-07-27,94,68,8,3,3,12,43,32,11,6,91,3,"{""Completa"": 92, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 1, ""Otra jornada"": 0}"
2026-07-28,94,67,9,3,3,12,44,31,11,6,91,3,"{""Completa"": 92, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 1, ""Otra jornada"": 0}"
2026-07-29,92,66,8,3,3,12,46,29,9,6,89,3,"{""Completa"": 90, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 1, ""Otra jornada"": 0}"
2026-07-30,95,68,8,4,3,12,48,29,10,6,90,5,"{""Completa"": 93, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 1, ""Otra jornada"": 0}"
2026-07-31,97,68,10,4,3,12,49,31,10,6,93,4,"{""Completa"": 96, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 0, ""Otra jornada"": 0}"
2026-08-01,101,72,11,4,3,11,53,33,9,6,97,4,"{""Completa"": 100, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 0, ""Otra jornada"": 0}"
2026-08-02,97,71,10,4,3,9,51,33,8,5,93,4,"{""Completa"": 96, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 0, ""Otra jornada"": 0}"
2026-08-03,97,71,10,4,3,9,51,33,8,5,93,4,"{""Completa"": 96, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 0, ""Otra jornada"": 0}"
2026-08-04,97,71,10,5,2,9,51,33,8,5,93,4,"{""Completa"": 96, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 0, ""Otra jornada"": 0}"
2026-08-05,100,74,10,5,2,9,53,34,8,5,96,4,"{""Completa"": 99, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 0, ""Otra jornada"": 0}"
2026-08-06,104,78,10,5,2,9,53,37,9,5,100,4,"{""Completa"": 102, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 0, ""Otra jornada"": 1}"
2026-08-07,102,76,10,5,2,9,51,38,8,5,99,3,"{""Completa"": 100, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 0, ""Otra jornada"": 1}"
2026-08-08,109,78,11,5,3,12,53,39,11,6,106,3,"{""Completa"": 107, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 0, ""Otra jornada"": 1}"
2026-08-09,106,75,11,5,3,12,51,39,11,5,103,3,"{""Completa"": 104, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 0, ""Otra jornada"": 1}"
2026-08-10,104,74,10,5,3,12,50,38,11,5,101,3,"{""Completa"": 102, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 0, ""Otra jornada"": 1}"
2026-08-11,105,76,9,5,3,12,48,41,11,5,102,3,"{""Completa"": 103, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 0, ""Otra jornada"": 1}"
2026-08-12,107,79,9,5,3,11,46,44,12,5,104,3,"{""Completa"": 105, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 0, ""Otra jornada"": 1}"
2026-08-13,108,81,7,5,3,12,45,45,12,6,104,4,"{""Completa"": 106, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 0, ""Otra jornada"": 1}"
2026-08-14,106,79,7,5,3,12,47,42,12,5,102,4,"{""Completa"": 104, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 0, ""Otra jornada"": 1}"
2026-08-15,99,73,6,5,3,12,48,36,11,4,95,4,"{""Completa"": 97, ""Indiferente"": 0, ""Parcial - Tarde"": 1, ""Parcial - Indiferente"": 0, ""Otra jornada"": 1}"
